Results for error margin CALCULATE PROBABILITY
r: 5000, b: 1, d: 100, a: 1, v: 2, function: 34.624929000261545, result: 47.7866
r: 5000, b: 1, d: 100, a: 5, v: 2, function: 15.30577137238308, result: 28.6672
r: 5000, b: 1, d: 100, a: 10, v: 2, function: 13.64602601867989, result: 27.9434
r: 5000, b: 1, d: 500, a: 1, v: 2, function: 105.46705321741373, result: 104.7276
r: 5000, b: 1, d: 500, a: 5, v: 2, function: 46.621167190046805, result: 61.8744
r: 5000, b: 1, d: 500, a: 10, v: 2, function: 41.56560587625906, result: 51.7014
r: 5000, b: 1, d: 1000, a: 1, v: 2, function: 210.93410643482747, result: 203.1362
r: 5000, b: 1, d: 1000, a: 5, v: 2, function: 93.24233438009361, result: 115.8542
r: 5000, b: 1, d: 1000, a: 10, v: 2, function: 83.13121175251813, result: 93.5986
r: 10000, b: 1, d: 10, a: 1, v: 2, function: 10.271424349768614, result: 17.659399999999998
r: 10000, b: 1, d: 10, a: 5, v: 2, function: 4.540430184422887, result: 16.8994
r: 10000, b: 1, d: 10, a: 10, v: 2, function: 4.048069641522901, result: 18.8172
r: 10000, b: 1, d: 50, a: 1, v: 2, function: 34.502520688066134, result: 46.1592
r: 10000, b: 1, d: 50, a: 5, v: 2, function: 15.251661408994327, result: 17.4716
r: 10000, b: 1, d: 50, a: 10, v: 2, function: 13.5977836955517, result: 18.2258
r: 10000, b: 1, d: 100, a: 1, v: 2, function: 69.00504137613227, result: 76.4882
r: 10000, b: 1, d: 100, a: 5, v: 2, function: 30.503322817988654, result: 48.2352
r: 10000, b: 1, d: 100, a: 10, v: 2, function: 27.1955673911034, result: 47.149
r: 10000, b: 1, d: 500, a: 1, v: 2, function: 210.18839839444595, result: 196.20159999999998
r: 10000, b: 1, d: 500, a: 5, v: 2, function: 92.91269798498242, result: 108.8264
r: 10000, b: 1, d: 500, a: 10, v: 2, function: 82.83732085901457, result: 103.01820000000001
r: 10000, b: 1, d: 1000, a: 1, v: 2, function: 420.3767967888919, result: 378.009
r: 10000, b: 1, d: 1000, a: 5, v: 2, function: 185.82539596996483, result: 200.433
r: 10000, b: 1, d: 1000, a: 10, v: 2, function: 165.67464171802914, result: 173.21179999999998
r: 50000, b: 1, d: 10, a: 1, v: 2, function: 51.21135759092949, result: 123.142
r: 50000, b: 1, d: 10, a: 5, v: 2, function: 22.637716627525805, result: 124.49
r: 50000, b: 1, d: 10, a: 10, v: 2, function: 20.182901115334122, result: 125.05200000000002
r: 50000, b: 1, d: 50, a: 1, v: 2, function: 172.02297019154906, result: 296.986
r: 50000, b: 1, d: 50, a: 5, v: 2, function: 76.04186719141664, result: 142.356
r: 50000, b: 1, d: 50, a: 10, v: 2, function: 67.79594918524575, result: 143.184
r: 50000, b: 1, d: 100, a: 1, v: 2, function: 344.0459403830981, result: 415.486
r: 50000, b: 1, d: 100, a: 5, v: 2, function: 152.08373438283328, result: 281.598
r: 50000, b: 1, d: 100, a: 10, v: 2, function: 135.5918983704915, result: 276.742
r: 50000, b: 1, d: 500, a: 1, v: 2, function: 1047.959159810704, result: 1021.076
r: 50000, b: 1, d: 500, a: 5, v: 2, function: 463.2449443444674, result: 578.0799999999999
r: 50000, b: 1, d: 500, a: 10, v: 2, function: 413.0110407210585, result: 495.462
r: 50000, b: 1, d: 1000, a: 1, v: 2, function: 2095.918319621408, result: 1898.964
r: 50000, b: 1, d: 1000, a: 5, v: 2, function: 926.4898886889348, result: 1002.7239999999999
r: 50000, b: 1, d: 1000, a: 10, v: 2, function: 826.022081442117, result: 849.706
r: 100000, b: 1, d: 10, a: 1, v: 2, function: 102.38627414238056, result: 156.142
r: 100000, b: 1, d: 10, a: 5, v: 2, function: 45.25932468140445, result: 173.444
