Results for error margin CALCULATE PROBABILITY
 1.5
Red: 
[('r', 100.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 2.8401349439221484), (' result', 3.4892), 0.8139788329479962]
[('r', 100.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 0.1387908725812981), (' result', 0.1674), 0.8290972077735849]
[('r', 50000.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 344.0459403830981), (' result', 414.738), 0.8295500783219723]
[('r', 10000.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 15.251661408994327), (' result', 18.360599999999998), 0.8306733662840173]
[('r', 50.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 0.7925517030605459), (' result', 0.9383999999999999), 0.8445776886834463]
[('r', 10000.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 92.91269798498242), (' result', 109.8078), 0.8461393269420061]
[('r', 100000.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 135.5436560473633), (' result', 160.004), 0.8471266721292174]
[('r', 1000.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 17.09646778010935), (' result', 20.0862), 0.8511549113376023]
[('r', 50.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 0.08761595602984701), (' result', 0.1028), 0.8522952921191344]
[('r', 100.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 5.680269887844297), (' result', 6.6596), 0.8529446044573693]
[('r', 100000.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 926.1602522938235), (' result', 1061.786), 0.872266400474129]
[('r', 10000.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 82.83732085901457), (' result', 93.23360000000001), 0.8884921408056169]
[('r', 1000.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 21.689977075787944), (' result', 24.3612), 0.8903492880395031]
[('r', 50.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 0.7066080433311324), (' result', 0.7901999999999999), 0.894214177842486]
[('r', 5000.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 93.24233438009361), (' result', 102.2058), 0.9122998340612138]
[('r', 100000.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 825.7281905486134), (' result', 900.624), 0.916840091479478]
[('r', 50.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 1.5851034061210918), (' result', 1.7282), 0.9171990545776483]
[('r', 50.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 0.588617748149523), (' result', 0.6412), 0.9179939927472286]
[('r', 50000.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 926.4898886889348), (' result', 1004.7), 0.9221557566327607]
